year,iso2,value,source,series
1957,CA,-0.0626166344384883,oecd,shr_gr
1958,CA,-0.06932431543432829,oecd,shr_gr
1959,CA,0.135281693103884,oecd,shr_gr
1960,CA,-0.08599582540219039,oecd,shr_gr
1961,CA,0.25769162772667803,oecd,shr_gr
1962,CA,-0.032515030447779696,oecd,shr_gr
1963,CA,0.07775658379686831,oecd,shr_gr
1964,CA,0.18233077359757702,oecd,shr_gr
1965,CA,0.10467169471845301,oecd,shr_gr
1966,CA,-0.0505684954920914,oecd,shr_gr
1967,CA,0.0597707431747072,oecd,shr_gr
1968,CA,0.051921822694081,oecd,shr_gr
1969,CA,0.113135652738723,oecd,shr_gr
1970,CA,-0.12153186345428,oecd,shr_gr
1971,CA,0.061920847301313205,oecd,shr_gr
1972,CA,0.17614724112440003,oecd,shr_gr
1973,CA,0.0694425316826605,oecd,shr_gr
1974,CA,-0.164354858154279,oecd,shr_gr
1975,CA,-0.0161710882778465,oecd,shr_gr
1976,CA,0.035031706502187,oecd,shr_gr
1977,CA,-0.024421363098127504,oecd,shr_gr
1978,CA,0.147677061888632,oecd,shr_gr
1979,CA,0.36075447009511796,oecd,shr_gr
1980,CA,0.34768083682087997,oecd,shr_gr
1981,CA,0.0154323964280142,oecd,shr_gr
1982,CA,-0.24009208903742,oecd,shr_gr
1983,CA,0.442961957363918,oecd,shr_gr
1984,CA,-0.011003861139807301,oecd,shr_gr
1985,CA,0.158855143863557,oecd,shr_gr
1986,CA,0.109881872455677,oecd,shr_gr
1987,CA,0.185076802434515,oecd,shr_gr
1988,CA,-0.07429075943513,oecd,shr_gr
1989,CA,0.151031873631814,oecd,shr_gr
1990,CA,-0.10006056743997001,oecd,shr_gr
1991,CA,0.014129700065401601,oecd,shr_gr
1992,CA,-0.019191752515910702,oecd,shr_gr
1993,CA,0.14731553814130002,oecd,shr_gr
1994,CA,0.09729090089076729,oecd,shr_gr
1995,CA,0.0349701033500702,oecd,shr_gr
1996,CA,0.188126309284536,oecd,shr_gr
1997,CA,0.225928557112596,oecd,shr_gr
1998,CA,0.046307917801152294,oecd,shr_gr
1999,CA,0.044670058899555,oecd,shr_gr
2000,CA,0.37261297067845,oecd,shr_gr
2001,CA,-0.197245400874045,oecd,shr_gr
2002,CA,-0.092659185892945,oecd,shr_gr
2003,CA,0.00902560900544136,oecd,shr_gr
2004,CA,0.207469447779877,oecd,shr_gr
2005,CA,0.17487537519246002,oecd,shr_gr
2006,CA,0.18469594483122703,oecd,shr_gr
2007,CA,0.13822978851166,oecd,shr_gr
2008,CA,-0.0833955208473202,oecd,shr_gr
2009,CA,-0.18624356329535502,oecd,shr_gr
2010,CA,0.187982227409831,oecd,shr_gr
2011,CA,0.07436527696612841,oecd,shr_gr
2012,CA,-0.067042507110864,oecd,shr_gr
2013,CA,0.0536136205052254,oecd,shr_gr
2014,CA,0.148210322306259,oecd,shr_gr
2015,CA,-0.0203746325815694,oecd,shr_gr
2016,CA,-0.0208529632896839,oecd,shr_gr
2017,CA,0.107411391153372,oecd,shr_gr
2018,CA,0.0117394528788515,oecd,shr_gr
2019,CA,0.037478596082037505,oecd,shr_gr
2020,CA,-0.0177382090745551,oecd,shr_gr
2021,CA,0.235840549461043,oecd,shr_gr
1956,FR,0.0588088088312524,oecd,shr_gr
1957,FR,0.349326400382705,oecd,shr_gr
1958,FR,-0.167980381799149,oecd,shr_gr
1959,FR,0.265673894665104,oecd,shr_gr
1960,FR,0.21004013505843103,oecd,shr_gr
1961,FR,0.16771743709083,oecd,shr_gr
1962,FR,0.05677676018907041,oecd,shr_gr
1963,FR,-0.13447512906620201,oecd,shr_gr
1964,FR,-0.12355614466408801,oecd,shr_gr
1965,FR,-0.0692448957644835,oecd,shr_gr
1966,FR,-0.0653435468823267,oecd,shr_gr
1967,FR,-0.0881659009019987,oecd,shr_gr
1968,FR,0.0627808797479288,oecd,shr_gr
1969,FR,0.25909789849722303,oecd,shr_gr
1970,FR,0.0406065540507709,oecd,shr_gr
1971,FR,-0.0426405868021992,oecd,shr_gr
1972,FR,0.121360711003482,oecd,shr_gr
1973,FR,0.10288603445010301,oecd,shr_gr
1974,FR,-0.247850696842726,oecd,shr_gr
1975,FR,0.0718404027948611,oecd,shr_gr
1976,FR,-0.0114125350699498,oecd,shr_gr
1977,FR,-0.19757759276196601,oecd,shr_gr
1978,FR,0.307193396244565,oecd,shr_gr
1979,FR,0.268561281006636,oecd,shr_gr
1980,FR,0.157374336348847,oecd,shr_gr
1981,FR,-0.11895545317874501,oecd,shr_gr
1982,FR,-0.0257135367891077,oecd,shr_gr
1983,FR,0.34986044981523,oecd,shr_gr
1984,FR,0.350583799598608,oecd,shr_gr
1985,FR,0.18277995412385303,oecd,shr_gr
1986,FR,0.537407207641571,oecd,shr_gr
1987,FR,0.137405006634039,oecd,shr_gr
1988,FR,-0.0751983758083892,oecd,shr_gr
1989,FR,0.441088070794415,oecd,shr_gr
1990,FR,-0.0433008011644234,oecd,shr_gr
1991,FR,-0.056366931692944,oecd,shr_gr
1992,FR,0.0331648830975986,oecd,shr_gr
1993,FR,0.112374866150804,oecd,shr_gr
1994,FR,0.0602912468291881,oecd,shr_gr
1995,FR,-0.10214579303675,oecd,shr_gr
1996,FR,0.138609542146613,oecd,shr_gr
1997,FR,0.291176856646536,oecd,shr_gr
1998,FR,0.307597411815347,oecd,shr_gr
1999,FR,0.22051191178262802,oecd,shr_gr
2000,FR,0.370903562015195,oecd,shr_gr
2001,FR,-0.19111055018595302,oecd,shr_gr
2002,FR,-0.21743361565584501,oecd,shr_gr
2003,FR,-0.163764003984913,oecd,shr_gr
2004,FR,0.19482720853673102,oecd,shr_gr
2005,FR,0.177325613140785,oecd,shr_gr
2006,FR,0.215077836542137,oecd,shr_gr
2007,FR,0.13136676631434901,oecd,shr_gr
2008,FR,-0.248723619249437,oecd,shr_gr
2009,FR,-0.22639371705691003,oecd,shr_gr
2010,FR,0.144719899918522,oecd,shr_gr
2011,FR,-0.019463109524476902,oecd,shr_gr
